ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,zero_oil_production,zero_oil_production_lower,zero_oil_production_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2010-10-04,2145.2484160952918,2010.4933861441366,3070.557194763744,2145.2484160952918,2145.2484160952918,0.0,0.0,0.0,0.18496816666247573,0.18496816666247573,0.18496816666247573,-0.016132018176466225,-0.016132018176466225,-0.016132018176466225,0.20110018483894193,0.20110018483894193,0.20110018483894193,0.0,0.0,0.0,0.0,0.0,0.0,2542.051082656018
2010-10-05,2142.769064451244,2064.380492513005,3129.360216186148,2142.769064451244,2142.769064451244,0.0,0.0,0.0,0.21493583130026353,0.21493583130026353,0.21493583130026353,0.028727428078447494,0.028727428078447494,0.028727428078447494,0.18620840322181603,0.18620840322181603,0.18620840322181603,0.0,0.0,0.0,0.0,0.0,0.0,2603.3269146035605
2010-10-06,2140.2897128071963,1924.5383087730763,3035.917587600462,2140.2897128071963,2140.2897128071963,0.0,0.0,0.0,0.16101571165148984,0.16101571165148984,0.16101571165148984,-0.01061235527456253,-0.01061235527456253,-0.01061235527456253,0.17162806692605234,0.17162806692605234,0.17162806692605234,0.0,0.0,0.0,0.0,0.0,0.0,2484.90998405521
2010-10-07,2137.8103611631486,1937.4478707353765,3021.2763125194406,2137.8103611631486,2137.8103611631486,0.0,0.0,0.0,0.1631178020099727,0.1631178020099727,0.1631178020099727,0.005450479999981418,0.005450479999981418,0.005450479999981418,0.15766732200999128,0.15766732200999128,0.15766732200999128,0.0,0.0,0.0,0.0,0.0,0.0,2486.525288390227
2010-10-08,2135.331009519101,1932.5740122978598,3021.083104282864,2135.331009519101,2135.331009519101,0.0,0.0,0.0,0.1469016632334755,0.1469016632334755,0.1469016632334755,0.0022920367552502954,0.0022920367552502954,0.0022920367552502954,0.1446096264782252,0.1446096264782252,0.1446096264782252,0.0,0.0,0.0,0.0,0.0,0.0,2449.014686371473
2010-10-09,2132.8516578750537,1864.274787513809,2887.782437244226,2132.8516578750537,2132.8516578750537,0.0,0.0,0.0,0.1219291962294109,0.1219291962294109,0.1219291962294109,-0.010777607174563669,-0.010777607174563669,-0.010777607174563669,0.13270680340397456,0.13270680340397456,0.13270680340397456,0.0,0.0,0.0,0.0,0.0,0.0,2392.9085461963255
2010-10-10,2130.372306231006,1906.3272248050248,2945.4489136414795,2130.372306231006,2130.372306231006,0.0,0.0,0.0,0.12322502890840346,0.12322502890840346,0.12322502890840346,0.0010520357919856314,0.0010520357919856314,0.0010520357919856314,0.12217299311641783,0.12217299311641783,0.12217299311641783,0.0,0.0,0.0,0.0,0.0,0.0,2392.8874952519836
2010-10-11,2127.8929545869582,1754.0161403585753,2844.0199797277633,2127.8929545869582,2127.8929545869582,0.0,0.0,0.0,0.09704764179800932,0.09704764179800932,0.09704764179800932,-0.01613201817652825,-0.01613201817652825,-0.01613201817652825,0.11317965997453758,0.11317965997453758,0.11317965997453758,0.0,0.0,0.0,0.0,0.0,0.0,2334.3999478282212
2010-10-12,2125.4136029429105,1904.9786448356713,2920.546706946803,2125.4136029429105,2125.4136029429105,0.0,0.0,0.0,0.13457920808228985,0.13457920808228985,0.13457920808228985,0.028727428078442106,0.028727428078442106,0.028727428078442106,0.10585178000384773,0.10585178000384773,0.10585178000384773,0.0,0.0,0.0,0.0,0.0,0.0,2411.450082474294
2010-10-13,2122.9342512988633,1740.5575763107852,2873.506341013075,2122.9342512988633,2122.9342512988633,0.0,0.0,0.0,0.089652947807289,0.089652947807289,0.089652947807289,-0.010612355274479669,-0.010612355274479669,-0.010612355274479669,0.10026530308176866,0.10026530308176866,0.10026530308176866,0.0,0.0,0.0,0.0,0.0,0.0,2313.2615649288664
2010-10-14,2120.454899654815,1804.9631971302128,2875.6427509265513,2120.454899654815,2120.454899654815,0.0,0.0,0.0,0.10189642832751082,0.10189642832751082,0.10189642832751082,0.005450480000063059,0.005450480000063059,0.005450480000063059,0.09644594832744775,0.09644594832744775,0.09644594832744775,0.0,0.0,0.0,0.0,0.0,0.0,2336.521680359211
2010-10-15,2117.975548010768,1774.1462875788916,2877.1366882473926,2117.975548010768,2117.975548010768,0.0,0.0,0.0,0.0966613916125951,0.0966613916125951,0.0966613916125951,0.0022920367551555612,0.0022920367551555612,0.0022920367551555612,0.09436935485743954,0.09436935485743954,0.09436935485743954,0.0,0.0,0.0,0.0,0.0,0.0,2322.7020118829373
2010-10-16,2115.49619636672,1725.542954734259,2840.125886012697,2115.49619636672,2115.49619636672,0.0,0.0,0.0,0.08318496594526036,0.08318496594526036,0.08318496594526036,-0.010777607174599016,-0.010777607174599016,-0.010777607174599016,0.09396257311985938,0.09396257311985938,0.09396257311985938,0.0,0.0,0.0,0.0,0.0,0.0,2291.4736754188134
2010-10-17,2113.0168447226724,1766.9148748041116,2886.3391842548563,2113.0168447226724,2113.0168447226724,0.0,0.0,0.0,0.09615888143237122,0.09615888143237122,0.09615888143237122,0.0010520357919247744,0.0010520357919247744,0.0010520357919247744,0.09510684564044644,0.09510684564044644,0.09510684564044644,0.0,0.0,0.0,0.0,0.0,0.0,2316.2021809589633
2010-10-18,2110.5374930786247,1729.0441983880085,2865.3805815989945,2110.5374930786247,2110.5374930786247,0.0,0.0,0.0,0.08150957302911004,0.08150957302911004,0.08150957302911004,-0.016132018176490633,-0.016132018176490633,-0.016132018176490633,0.09764159120560068,0.09764159120560068,0.09764159120560068,0.0,0.0,0.0,0.0,0.0,0.0,2282.5665030013915
2010-10-19,2108.058141434577,1794.984592486609,2916.8008480366116,2108.058141434577,2108.058141434577,0.0,0.0,0.0,0.13009690230941465,0.13009690230941465,0.13009690230941465,0.02872742807843631,0.02872742807843631,0.02872742807843631,0.10136947423097835,0.10136947423097835,0.10136947423097835,0.0,0.0,0.0,0.0,0.0,0.0,2382.3099755233575
2010-10-20,2105.5787897905293,1747.7207330007259,2833.643535360747,2105.5787897905293,2105.5787897905293,0.0,0.0,0.0,0.09545005692522765,0.09545005692522765,0.09545005692522765,-0.010612355274521562,-0.010612355274521562,-0.010612355274521562,0.10606241219974921,0.10606241219974921,0.10606241219974921,0.0,0.0,0.0,0.0,0.0,0.0,2306.5564051365873
2010-10-21,2103.0994381464816,1831.1109015617722,2889.5421720999907,2103.0994381464816,2103.0994381464816,0.0,0.0,0.0,0.11691882939305394,0.11691882939305394,0.11691882939305394,0.0054504800000400545,0.0054504800000400545,0.0054504800000400545,0.11146834939301387,0.11146834939301387,0.11146834939301387,0.0,0.0,0.0,0.0,0.0,0.0,2348.9913625517574
2010-10-22,2100.6200865024343,1813.3963547480223,2882.3164443722358,2100.6200865024343,2100.6200865024343,0.0,0.0,0.0,0.11961064209307615,0.11961064209307615,0.11961064209307615,0.0022920367551853386,0.0022920367551853386,0.0022920367551853386,0.11731860533789079,0.11731860533789079,0.11731860533789079,0.0,0.0,0.0,0.0,0.0,0.0,2351.876603842604
2010-10-23,2098.140734858386,1789.1046414871903,2874.688379707753,2098.140734858386,2098.140734858386,0.0,0.0,0.0,0.11255798482512497,0.11255798482512497,0.11255798482512497,-0.010777607174634357,-0.010777607174634357,-0.010777607174634357,0.12333559199975933,0.12333559199975933,0.12333559199975933,0.0,0.0,0.0,0.0,0.0,0.0,2334.303227853553
2010-10-24,2095.661383214339,1808.31539482887,2944.414722831738,2095.661383214339,2095.661383214339,0.0,0.0,0.0,0.13029272090814284,0.13029272090814284,0.13029272090814284,0.0010520357920246152,0.0010520357920246152,0.0010520357920246152,0.12924068511611822,0.12924068511611822,0.12924068511611822,0.0,0.0,0.0,0.0,0.0,0.0,2368.710806935457
2010-10-25,2093.182031570291,1808.368593732118,2911.8757368623255,2093.182031570291,2093.182031570291,0.0,0.0,0.0,0.11863001425018851,0.11863001425018851,0.11863001425018851,-0.016132018176552652,-0.016132018176552652,-0.016132018176552652,0.13476203242674115,0.13476203242674115,0.13476203242674115,0.0,0.0,0.0,0.0,0.0,0.0,2341.4962458037135
2010-10-26,2090.702679926244,1892.3389669241706,2962.109239350175,2090.702679926244,2090.702679926244,0.0,0.0,0.0,0.16836951301827044,0.16836951301827044,0.16836951301827044,0.028727428078455238,0.028727428078455238,0.028727428078455238,0.13964208493981523,0.13964208493981523,0.13964208493981523,0.0,0.0,0.0,0.0,0.0,0.0,2442.7132720114187
2010-10-27,2088.223328282196,1849.2499112746032,2927.994271633206,2088.223328282196,2088.223328282196,0.0,0.0,0.0,0.13303229139151312,0.13303229139151312,0.13303229139151312,-0.010612355274513614,-0.010612355274513614,-0.010612355274513614,0.14364464666602675,0.14364464666602675,0.14364464666602675,0.0,0.0,0.0,0.0,0.0,0.0,2366.024462580788
2010-10-28,2085.7439766381485,1819.7847448789857,2983.975192333293,2085.7439766381485,2085.7439766381485,0.0,0.0,0.0,0.15201173315983635,0.15201173315983635,0.15201173315983635,0.0054504800000110196,0.0054504800000110196,0.0054504800000110196,0.14656125315982538,0.14656125315982538,0.14656125315982538,0.0,0.0,0.0,0.0,0.0,0.0,2402.8015334546026
2010-10-29,2083.2646249941004,1877.1322772584194,2939.8015972028697,2083.2646249941004,2083.2646249941004,0.0,0.0,0.0,0.15050874604022274,0.15050874604022274,0.15050874604022274,0.0022920367550906045,0.0022920367550906045,0.0022920367550906045,0.14821670928513214,0.14821670928513214,0.14821670928513214,0.0,0.0,0.0,0.0,0.0,0.0,2396.8141713719174
2010-10-30,2080.785273350053,1821.206297695021,2950.1329319551814,2080.785273350053,2080.785273350053,0.0,0.0,0.0,0.13769603410898454,0.13769603410898454,0.13769603410898454,-0.010777607174643638,-0.010777607174643638,-0.010777607174643638,0.14847364128362814,0.14847364128362814,0.14847364128362814,0.0,0.0,0.0,0.0,0.0,0.0,2367.301153322735
2010-10-31,2078.3059217060054,1864.9687518833275,2922.0048006103652,2078.3059217060054,2078.3059217060054,0.0,0.0,0.0,0.14828798254293712,0.14828798254293712,0.14828798254293712,0.0010520357919604534,0.0010520357919604534,0.0010520357919604534,0.14723594675097665,0.14723594675097665,0.14723594675097665,0.0,0.0,0.0,0.0,0.0,0.0,2386.4937139428284
2010-11-01,2075.8265700619577,1785.7146980126024,2916.586623790999,2075.8265700619577,2075.8265700619577,0.0,0.0,0.0,0.12831903952478552,0.12831903952478552,0.12831903952478552,-0.01613201817651504,-0.01613201817651504,-0.01613201817651504,0.14445105770130054,0.14445105770130054,0.14445105770130054,0.0,0.0,0.0,0.0,0.0,0.0,2342.194641752338
2010-11-02,2073.34721841791,1914.571159642856,2987.027110351757,2073.34721841791,2073.34721841791,0.0,0.0,0.0,0.16883839369815434,0.16883839369815434,0.16883839369815434,0.028727428078449854,0.028727428078449854,0.028727428078449854,0.14011096561970451,0.14011096561970451,0.14011096561970451,0.0,0.0,0.0,0.0,0.0,0.0,2423.407832354126
2010-11-03,2070.8678667738623,1760.719810916315,2819.1823205122414,2070.8678667738623,2070.8678667738623,0.0,0.0,0.0,0.1236396370362525,0.1236396370362525,0.1236396370362525,-0.010612355274505665,-0.010612355274505665,-0.010612355274505665,0.13425199231075816,0.13425199231075816,0.13425199231075816,0.0,0.0,0.0,0.0,0.0,0.0,2326.909218171821
