ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2016-05-01,3278.8224837771145,6711.438601342166,7164.927553057906,3179.426552893777,3394.25900543376,1.1108959397950633,1.1108959397950633,1.1108959397950633,1.1108959397950633,1.1108959397950633,1.1108959397950633,0.0,0.0,0.0,6921.253068313876
2016-05-02,3270.228664592306,7507.737520286405,8061.8778300184795,3163.2840689122722,3396.7636234715787,1.3733997193615113,1.3733997193615113,1.3733997193615113,1.3733997193615113,1.3733997193615113,1.3733997193615113,0.0,0.0,0.0,7761.559794791348
2016-05-03,3261.6348454074973,8364.771112817985,9027.685279000221,3146.153925905534,3395.4889025179027,1.658729137071637,1.658729137071637,1.658729137071637,1.658729137071637,1.658729137071637,1.658729137071637,0.0,0.0,0.0,8671.803597973058
2016-05-04,3253.04102622269,9310.536658149495,10109.026297357465,3128.8452905373624,3397.1811164743067,1.9757101399748689,1.9757101399748689,1.9757101399748689,1.9757101399748689,1.9757101399748689,1.9757101399748689,0.0,0.0,0.0,9680.107167485112
2016-05-05,3244.4472070378815,10366.358037566855,11336.460956693774,3110.8714532866097,3401.9925456349524,2.3323003518957863,2.3323003518957863,2.3323003518957863,2.3323003518957863,2.3323003518957863,2.3323003518957863,0.0,0.0,0.0,10811.472569719634
2016-05-06,3235.8533878530757,11569.892517070695,12705.89043285873,3097.610212977096,3401.7512181811376,2.7351027803200507,2.7351027803200507,2.7351027803200507,2.7351027803200507,2.7351027803200507,2.7351027803200507,0.0,0.0,0.0,12086.244985678079
2016-05-07,3227.2595686682666,12901.488723029463,14247.440477276215,3079.916259873305,3401.229464649469,3.1889089298413964,3.1889089298413964,3.1889089298413964,3.1889089298413964,3.1889089298413964,3.1889089298413964,0.0,0.0,0.0,13518.696426110595
2016-05-08,3218.665749483458,14368.014304853745,15993.613508984468,3059.4403958212947,3405.585922299544,3.6962883550373076,3.6962883550373076,3.6962883550373076,3.6962883550373076,3.6962883550373076,3.6962883550373076,0.0,0.0,0.0,15115.78247805659
2016-05-09,3210.071930298651,15980.38947257201,17892.583840124433,3039.6915045581927,3403.4173686194117,4.2572405618701445,4.2572405618701445,4.2572405618701445,4.2572405618701445,4.2572405618701445,4.2572405618701445,0.0,0.0,0.0,16876.12035848686
2016-05-10,3201.4781111138423,17752.70550655657,19962.606865406393,3024.8657095592703,3401.4085888930404,4.868923519436909,4.868923519436909,4.868923519436909,4.868923519436909,4.868923519436909,4.868923519436909,0.0,0.0,0.0,18789.23018327848
2016-05-11,3192.8842919290337,19622.4925232852,22207.622037540583,3007.0615244796463,3403.221364576628,5.525470916746362,5.525470916746362,5.525470916746362,5.525470916746362,5.525470916746362,5.525470916746362,0.0,0.0,0.0,20835.07358751921
2016-05-12,3184.290472744228,21541.702132108974,24590.633448735163,2984.4801117621896,3406.892176424655,6.217907751173158,6.217907751173158,6.217907751173158,6.217907751173158,6.217907751173158,6.217907751173158,0.0,0.0,0.0,22983.9148852074
